Rv1603	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase(hisA)
GOTERM_BP_DIRECT	300002484$GO:0008152~metabolic process,
GOTERM_MF_DIRECT	460002923$GO:0016787~hydrolase activity,
INTERPRO	530011077$IPR013094:Alpha/beta hydrolase fold-3,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3576	lipoprotein LppH(lppH)
INTERPRO	530022915$IPR026954:PknH-like extracellular domain,
UP_KEYWORDS	870000251$Complete proteome,870000660$Lipoprotein,870000928$Reference proteome,870000992$Signal,

Rv2290	lipoprotein LppO(lppO)
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000407$GO:0005886~plasma membrane,380000667$GO:0016020~membrane,
INTERPRO	530007435$IPR008691:19kDa lipoprotein antigen, Mycobacterium,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000660$Lipoprotein,870000683$Membrane,870000807$Palmitate,870000928$Reference proteome,870000992$Signal,
UP_SEQ_FEATURE	880043181$chain:Putative lipoprotein lppO,880079287$lipid moiety-binding region:N-palmitoyl cysteine,880079301$lipid moiety-binding region:S-diacylglycerol cysteine,880088358$signal peptide,

Rv1799	lipoprotein LppT(lppT)
UP_KEYWORDS	870000251$Complete proteome,870000660$Lipoprotein,870000928$Reference proteome,870000992$Signal,

Rv2905	lipoprotein LppW(lppW)
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000407$GO:0005886~plasma membrane,
INTERPRO	530010444$IPR012338:Beta-lactamase/transpeptidase-like,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000660$Lipoprotein,870000683$Membrane,870000807$Palmitate,870000928$Reference proteome,870000992$Signal,
UP_SEQ_FEATURE	880043183$chain:Putative lipoprotein lppW,880079287$lipid moiety-binding region:N-palmitoyl cysteine,880079301$lipid moiety-binding region:S-diacylglycerol cysteine,880088358$signal peptide,

Rv2999	lipoprotein LppY(lppY)
GOTERM_BP_DIRECT	300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
INTERPRO	530009517$IPR011094:Uncharacterised protein family, LppY/LpqO,
UP_KEYWORDS	870000251$Complete proteome,870000660$Lipoprotein,870000928$Reference proteome,870000992$Signal,

Rv3006	lipoprotein LppZ(lppZ)
COG_ONTOLOGY	120000016$Carbohydrate transport and metabolism,
GOTERM_BP_DIRECT	300001227$GO:0005975~carbohydrate metabolic process,
GOTERM_MF_DIRECT	460002999$GO:0016901~oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor,460005885$GO:0048038~quinone binding,
INTERPRO	530009474$IPR011041:Soluble quinoprotein glucose/sorbosone dehydrogenase,530009475$IPR011042:Six-bladed beta-propeller, TolB-like,530010965$IPR012938:Glucose/Sorbosone dehydrogenase,
UP_KEYWORDS	870000251$Complete proteome,870000660$Lipoprotein,870000928$Reference proteome,870000992$Signal,

Rv3623	lipoprotein LpqG(lpqG)
INTERPRO	530006412$IPR007497:Protein of unknown function DUF541,
UP_KEYWORDS	870000251$Complete proteome,870000660$Lipoprotein,870000928$Reference proteome,870000992$Signal,

Rv0237	lipoprotein LpqI(lpqI)
GOTERM_BP_DIRECT	300001227$GO:0005975~carbohydrate metabolic process,300002703$GO:0009254~peptidoglycan turnover,
GOTERM_MF_DIRECT	460000889$GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,
INTERPRO	530001463$IPR001764:Glycoside hydrolase, family 3, N-terminal,530015048$IPR017853:Glycoside hydrolase, superfamily,
KEGG_PATHWAY	550041952$mtu00520:Amino sugar and nucleotide sugar metabolism,550042007$mtu01501:beta-Lactam resistance,
UP_KEYWORDS	870000251$Complete proteome,870000436$Glycosidase,870000516$Hydrolase,870000660$Lipoprotein,870000928$Reference proteome,870000992$Signal,

Rv0835	lipoprotein LpqQ(lpqQ)
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,
INTERPRO	530022915$IPR026954:PknH-like extracellular domain,
UP_KEYWORDS	870000251$Complete proteome,870000660$Lipoprotein,870000928$Reference proteome,870000992$Signal,

Rv0847	lipoprotein LpqS(lpqS)
GOTERM_BP_DIRECT	300009632$GO:0046688~response to copper ion,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000660$Lipoprotein,870000683$Membrane,870000807$Palmitate,870000928$Reference proteome,870000992$Signal,

Rv1228	lipoprotein LpqX(lpqX)
UP_KEYWORDS	870000251$Complete proteome,870000660$Lipoprotein,870000928$Reference proteome,

Rv1368	lipoprotein LprF(lprF)
GOTERM_BP_DIRECT	300001891$GO:0006869~lipid transport,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460001677$GO:0008289~lipid binding,
INTERPRO	530008415$IPR009830:Protein of unknown function DUF1396, LppX/LprAFG lipoprotein,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000435$Glycoprotein,870000657$Lipid transport,870000658$Lipid-binding,870000660$Lipoprotein,870000683$Membrane,870000807$Palmitate,870000928$Reference proteome,870000992$Signal,870001103$Transport,
UP_SEQ_FEATURE	880043191$chain:Putative lipoprotein lprF,880079287$lipid moiety-binding region:N-palmitoyl cysteine,880079301$lipid moiety-binding region:S-diacylglycerol cysteine,880088358$signal peptide,

Rv1922	lipoprotein(Rv1922)
INTERPRO	530001213$IPR001466:Beta-lactamase-related,530010444$IPR012338:Beta-lactamase/transpeptidase-like,
UP_KEYWORDS	870000251$Complete proteome,870000660$Lipoprotein,870000928$Reference proteome,870000992$Signal,

Rv3826	long-chain-fatty-acid--CoA ligase FadD23(fadD23)
GOTERM_BP_DIRECT	300001711$GO:0006633~fatty acid biosynthetic process,300002484$GO:0008152~metabolic process,300009542$GO:0046506~sulfolipid biosynthetic process,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460000373$GO:0003824~catalytic activity,460000818$GO:0004467~long-chain fatty acid-CoA ligase activity,460001536$GO:0005524~ATP binding,460006858$GO:0070566~adenylyltransferase activity,460007330$GO:0102391~decanoate--CoA ligase activity,
INTERPRO	530000714$IPR000873:AMP-dependent synthetase/ligase,
UP_KEYWORDS	870000104$ATP-binding,870000251$Complete proteome,870000378$Fatty acid metabolism,870000646$Ligase,870000656$Lipid metabolism,870000683$Membrane,870000786$Nucleotide-binding,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv1473	macrolide ABC transporter ATP-binding protein(Rv1473)
COG_ONTOLOGY	120000073$General function prediction only,
GOTERM_BP_DIRECT	300009625$GO:0046677~response to antibiotic,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460001536$GO:0005524~ATP binding,460002989$GO:0016887~ATPase activity,
INTERPRO	530002807$IPR003439:ABC transporter-like,530002940$IPR003593:AAA+ ATPase domain,530015063$IPR017871:ABC transporter, conserved site,530023254$IPR027417:P-loop containing nucleoside triphosphate hydrolase,
SMART	790000325$SM00382:AAA,
UP_KEYWORDS	870000104$ATP-binding,870000251$Complete proteome,870000786$Nucleotide-binding,870000928$Reference proteome,

Rv0127	maltokinase(mak)
GOTERM_BP_DIRECT	300001230$GO:0005978~glycogen biosynthetic process,300001244$GO:0005992~trehalose biosynthetic process,300007714$GO:0040007~growth,300009692$GO:0046835~carbohydrate phosphorylation,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460001536$GO:0005524~ATP binding,460002737$GO:0016301~kinase activity,
INTERPRO	530009446$IPR011009:Protein kinase-like domain,
KEGG_PATHWAY	550041951$mtu00500:Starch and sucrose metabolism,
UP_KEYWORDS	870000010$3D-structure,870000104$ATP-binding,870000173$Carbohydrate metabolism,870000251$Complete proteome,870000430$Glycogen biosynthesis,870000431$Glycogen metabolism,870000620$Kinase,870000786$Nucleotide-binding,870000928$Reference proteome,870001085$Transferase,

Rv0071	maturase(Rv0071)
INTERPRO	530000376$IPR000477:Reverse transcriptase,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0007	membrane protein(Rv0007)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000408$GO:0005887~integral component of plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530018519$IPR021949:Domain of unknown function DUF3566. transmembrane,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,
UP_SEQ_FEATURE	880063446$chain:Uncharacterized protein Rv0007/MT0007,880089084$transmembrane region,

Rv0538	membrane protein(Rv0538)
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv0621	membrane protein(Rv0621)
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv0686	membrane protein(Rv0686)
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv1371	membrane protein(Rv1371)
COG_ONTOLOGY	120000084$Lipid metabolism,
GOTERM_BP_DIRECT	300001709$GO:0006629~lipid metabolic process,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530000982$IPR001199:Cytochrome b5-like heme/steroid binding domain,530004916$IPR005804:Fatty acid desaturase, type 1,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv1615	membrane protein(Rv1615)
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
INTERPRO	530006718$IPR007829:TM2,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv3395A	membrane protein(Rv3395A)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv3675	membrane protein(Rv3675)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3695	membrane protein(Rv3695)
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
INTERPRO	530008965$IPR010432:RDD,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv3760	membrane protein(Rv3760)
COG_ONTOLOGY	120000070$Function unknown,
GOTERM_CC_DIRECT	380000408$GO:0005887~integral component of plasma membrane,
INTERPRO	530008977$IPR010445:Protein of unknown function DUF1049,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv0167	membrane protein(yrbE1A)
GOTERM_BP_DIRECT	300004070$GO:0015914~phospholipid transport,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380001569$GO:0043190~ATP-binding cassette (ABC) transporter complex,
GOTERM_MF_DIRECT	460001546$GO:0005543~phospholipid binding,460001551$GO:0005548~phospholipid transporter activity,
KEGG_PATHWAY	550042010$mtu02010:ABC transporters,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv1406	methionyl-tRNA formyltransferase(fmt)
GOTERM_BP_DIRECT	300007714$GO:0040007~growth,
GOTERM_MF_DIRECT	460000828$GO:0004479~methionyl-tRNA formyltransferase activity,
INTERPRO	530001966$IPR002376:Formyl transferase, N-terminal,530004908$IPR005793:Formyl transferase, C-terminal,530004909$IPR005794:Methionyl-tRNA formyltransferase,530009468$IPR011034:Formyl transferase, C-terminal-like,
KEGG_PATHWAY	550041977$mtu00670:One carbon pool by folate,550041994$mtu00970:Aminoacyl-tRNA biosynthesis,
UP_KEYWORDS	870000251$Complete proteome,870000896$Protein biosynthesis,870000928$Reference proteome,870001085$Transferase,
UP_SEQ_FEATURE	880025955$chain:Methionyl-tRNA formyltransferase,880085560$region of interest:Tetrahydrofolate (THF) binding,

Rv3116	molybdenum cofactor biosynthesis protein MoeB(moeB2)
GOTERM_BP_DIRECT	300000634$GO:0002143~tRNA wobble position uridine thiolation,300005952$GO:0032447~protein urmylation,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,
GOTERM_MF_DIRECT	460001090$GO:0004792~thiosulfate sulfurtransferase activity,460004772$GO:0042292~URM1 activating enzyme activity,460006887$GO:0070733~protein adenylyltransferase activity,
INTERPRO	530000474$IPR000594:UBA/THIF-type NAD/FAD binding fold,530001462$IPR001763:Rhodanese-like domain,530013409$IPR016040:NAD(P)-binding domain,
KEGG_PATHWAY	550042024$mtu04122:Sulfur relay system,
SMART	790000385$SM00450:RHOD,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3119	molybdopterin synthase catalytic subunit 1(moaE1)
GOTERM_BP_DIRECT	300001822$GO:0006777~Mo-molybdopterin cofactor biosynthetic process,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,
GOTERM_MF_DIRECT	460003609$GO:0030366~molybdopterin synthase activity,
INTERPRO	530002816$IPR003448:Molybdopterin biosynthesis MoaE,
KEGG_PATHWAY	550041986$mtu00790:Folate biosynthesis,550041998$mtu01100:Metabolic pathways,550042024$mtu04122:Sulfur relay system,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000734$Molybdenum cofactor biosynthesis,870000928$Reference proteome,870001085$Transferase,
UP_SEQ_FEATURE	880026732$chain:Molybdopterin-converting factor subunit 2 1,

Rv0793	monooxygenase(Rv0793)
GOTERM_MF_DIRECT	460000373$GO:0003824~catalytic activity,460000845$GO:0004497~monooxygenase activity,
INTERPRO	530006087$IPR007138:Antibiotic biosynthesis monooxygenase,530009445$IPR011008:Dimeric alpha-beta barrel,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000736$Monooxygenase,870000802$Oxidoreductase,870000928$Reference proteome,

Rv0892	monooxygenase(Rv0892)
COG_ONTOLOGY	120000075$Inorganic ion transport and metabolism,
GOTERM_BP_DIRECT	300011127$GO:0055114~oxidation-reduction process,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,
GOTERM_MF_DIRECT	460000845$GO:0004497~monooxygenase activity,460000847$GO:0004499~N,N-dimethylaniline monooxygenase activity,460006265$GO:0050660~flavin adenine dinucleotide binding,460006266$GO:0050661~NADP binding,
INTERPRO	530017572$IPR020946:Flavin monooxygenase-like,530020127$IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,
UP_KEYWORDS	870000251$Complete proteome,870000374$FAD,870000388$Flavoprotein,870000736$Monooxygenase,870000754$NADP,870000802$Oxidoreductase,870000928$Reference proteome,
UP_SEQ_FEATURE	880000318$binding site:FAD,880000321$binding site:FAD; via amide nitrogen and carbonyl oxygen,880058054$chain:Uncharacterized monooxygenase Rv0892/MT0916,880089038$site:Transition state stabilizer,

Rv0316	muconolactone isomerase(Rv0316)
GOTERM_BP_DIRECT	300001789$GO:0006725~cellular aromatic compound metabolic process,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,
GOTERM_MF_DIRECT	460002963$GO:0016853~isomerase activity,
INTERPRO	530002830$IPR003464:Muconolactone delta-isomerase,530009445$IPR011008:Dimeric alpha-beta barrel,530022154$IPR026029:Muconolactone isomerase domain,
UP_KEYWORDS	870000251$Complete proteome,870000609$Isomerase,870000928$Reference proteome,

Rv0194	multidrug ABC transporter ATPase/permease(Rv0194)
COG_ONTOLOGY	120000055$Defense mechanisms,
GOTERM_BP_DIRECT	300008177$GO:0042891~antibiotic transport,300009625$GO:0046677~response to antibiotic,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460001536$GO:0005524~ATP binding,460002611$GO:0015562~efflux transmembrane transporter activity,460004285$GO:0034040~lipid-transporting ATPase activity,
INTERPRO	530002807$IPR003439:ABC transporter-like,530002940$IPR003593:AAA+ ATPase domain,530009851$IPR011527:ABC transporter, transmembrane domain, type 1,530015063$IPR017871:ABC transporter, conserved site,530023254$IPR027417:P-loop containing nucleoside triphosphate hydrolase,
SMART	790000325$SM00382:AAA,
UP_KEYWORDS	870000077$Antibiotic resistance,870000104$ATP-binding,870000188$Cell inner membrane,870000190$Cell membrane,870000251$Complete proteome,870000516$Hydrolase,870000683$Membrane,870000786$Nucleotide-binding,870000928$Reference proteome,870000935$Repeat,870001092$Transmembrane,870001094$Transmembrane helix,870001103$Transport,

Rv3065	multidrug resistance protein Mmr(mmr)
GOTERM_BP_DIRECT	300001846$GO:0006810~transport,300009625$GO:0046677~response to antibiotic,300011111$GO:0055085~transmembrane transport,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000408$GO:0005887~integral component of plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460002611$GO:0015562~efflux transmembrane transporter activity,460003511$GO:0022857~transmembrane transporter activity,460003521$GO:0022891~substrate-specific transmembrane transporter activity,
INTERPRO	530000308$IPR000390:Small multidrug resistance protein family,
UP_KEYWORDS	870000010$3D-structure,870000077$Antibiotic resistance,870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,870001103$Transport,
UP_SEQ_FEATURE	880027035$chain:Multidrug resistance protein mmr,880089084$transmembrane region,

Rv1082	mycothiol S-conjugate amidase(mca)
GOTERM_BP_DIRECT	300003146$GO:0010125~mycothiol biosynthetic process,300003147$GO:0010126~mycothiol metabolic process,300003148$GO:0010127~mycothiol-dependent detoxification,300011042$GO:0052556~positive regulation by symbiont of host immune response,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460001672$GO:0008270~zinc ion binding,460002923$GO:0016787~hydrolase activity,460002934$GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,460002935$GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,
INTERPRO	530003054$IPR003737:N-acetylglucosaminyl phosphatidylinositol deacetylase,530015007$IPR017811:Mycothiol conjugate amidase, Mca,530020418$IPR024078:Putative deacetylase LmbE-like domain,
